City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Severobaykalsk,RU,2021-07-17 18:42:38,55.65,109.3167,55.4,91,100,1.97
211,Burley,US,2021-07-17 18:42:38,42.5357,-113.7928,82.36,30,1,6.91
212,Tungor,RU,2021-07-17 18:42:39,53.3808,142.9564,57.78,90,28,11.97
213,Puerto Rico,AR,2021-07-17 18:42:39,-26.796,-55.024,66.61,50,0,5.35
214,Karasjok,NO,2021-07-17 18:42:39,69.4719,25.5112,57.31,78,99,3.56
215,Margate,GB,2021-07-17 18:42:39,51.3813,1.3862,69.69,67,0,3.0
216,Manhattan,US,2021-07-17 18:42:39,40.7834,-73.9662,95.25,66,75,3.44
217,Durban,ZA,2021-07-17 18:42:40,-29.8579,31.0292,61.02,52,0,4.0
218,Chokurdakh,RU,2021-07-17 18:42:40,70.6333,147.9167,38.37,84,100,15.35
219,Dauphin,CA,2021-07-17 18:42:14,51.1494,-100.0502,80.74,69,1,8.05
220,Antalaha,MG,2021-07-17 18:42:40,-14.9003,50.2788,66.94,85,7,6.73
221,Antas,PT,2021-07-17 18:42:41,41.7364,-8.3089,91.08,43,6,3.98
222,Pendleton,US,2021-07-17 18:42:41,45.6721,-118.7886,82.42,35,1,1.01
223,Sri Aman,MY,2021-07-17 18:42:41,1.2376,111.4621,75.25,94,95,0.0
224,Anadyr,RU,2021-07-17 18:42:41,64.75,177.4833,55.9,82,0,13.0
225,Mersing,MY,2021-07-17 18:42:41,2.4312,103.8405,78.71,89,84,5.75
226,Vestmannaeyjar,IS,2021-07-17 18:42:42,63.4427,-20.2734,51.35,87,50,16.2
227,Upernavik,GL,2021-07-17 18:42:42,72.7868,-56.1549,40.73,73,100,12.91
228,Sao Joao De Pirabas,BR,2021-07-17 18:42:42,-0.7747,-47.1772,82.99,72,87,9.4
229,Nouakchott,MR,2021-07-17 18:42:42,18.0858,-15.9785,78.73,81,32,16.6
230,Puerto Guzman,CO,2021-07-17 18:42:43,0.9703,-76.5858,79.7,84,98,1.81
231,Marivan,IR,2021-07-17 18:42:43,35.5219,46.176,77.86,22,6,2.62
232,Berea,US,2021-07-17 18:42:29,41.3662,-81.8543,72.48,95,90,3.0
233,Mackay,AU,2021-07-17 18:42:43,-21.15,149.2,54.05,76,7,8.05
234,Hualmay,PE,2021-07-17 18:42:43,-11.0964,-77.6139,68.29,71,15,11.86
235,Awjilah,LY,2021-07-17 18:42:44,29.1081,21.2869,86.5,40,0,19.46
236,Bar Harbor,US,2021-07-17 18:42:44,44.3876,-68.2039,79.29,53,1,4.61
237,Ostuni,IT,2021-07-17 18:42:44,40.7276,17.5764,73.76,73,42,6.96
238,Akureyri,IS,2021-07-17 18:42:45,65.6835,-18.0878,64.33,48,0,9.22
239,Nara,JP,2021-07-17 18:42:45,34.6851,135.8049,77.5,94,87,5.79
240,Yar-Sale,RU,2021-07-17 18:42:45,66.8333,70.8333,41.99,81,60,6.85
241,Ambilobe,MG,2021-07-17 18:42:45,-13.2,49.05,68.25,74,100,4.12
242,Ostrovnoy,RU,2021-07-17 18:42:46,68.0531,39.5131,56.95,76,100,0.85
243,Jimeta,NG,2021-07-17 18:42:46,9.2833,12.4667,79.45,71,100,5.61
244,Lavrentiya,RU,2021-07-17 18:42:46,65.5833,-171.0,47.52,87,75,7.87
245,Karratha,AU,2021-07-17 18:42:46,-20.7377,116.8463,66.16,31,45,7.49
246,Freeport,US,2021-07-17 18:38:06,40.6576,-73.5832,94.26,77,1,8.99
247,Atbasar,KZ,2021-07-17 18:41:14,51.8,68.3333,63.79,72,72,6.26
248,Valdez,EC,2021-07-17 18:42:47,1.2492,-78.9831,78.57,82,97,10.47
249,Tuatapere,NZ,2021-07-17 18:42:47,-46.1333,167.6833,44.82,94,99,2.8
250,Northam,GB,2021-07-17 18:42:47,51.0333,-4.2167,74.01,84,0,5.19
251,Kudahuvadhoo,MV,2021-07-17 18:42:47,2.6708,72.8944,82.99,75,85,10.0
252,Saint Anthony,US,2021-07-17 18:42:48,45.0205,-93.218,88.18,40,1,4.0
253,Lohr,DE,2021-07-17 18:42:48,49.9936,9.5783,77.41,76,100,6.85
254,Mananara,MG,2021-07-17 18:42:48,-16.1667,49.7667,65.66,93,22,5.14
255,Longyearbyen,SJ,2021-07-17 18:42:48,78.2186,15.6401,49.84,71,20,18.41
256,Celestun,MX,2021-07-17 18:42:49,20.8667,-90.4,87.76,64,15,13.67
257,Caravelas,BR,2021-07-17 18:42:49,-17.7125,-39.2481,76.5,61,0,7.87
258,Touros,BR,2021-07-17 18:42:49,-5.1989,-35.4608,76.1,72,32,16.51
259,Vila Franca Do Campo,PT,2021-07-17 18:42:50,37.7167,-25.4333,70.21,66,31,7.47
260,Khuzhir,RU,2021-07-17 18:42:50,53.1939,107.3397,54.54,92,100,5.06
261,Andenes,NO,2021-07-17 18:42:50,69.3143,16.1194,51.78,87,75,12.66
262,Chicama,PE,2021-07-17 18:42:50,-7.8447,-79.1469,66.74,59,11,9.55
263,Kitimat,CA,2021-07-17 18:42:51,54.0524,-128.6534,61.92,83,67,0.98
264,Mogadishu,SO,2021-07-17 18:38:12,2.0371,45.3438,76.5,84,53,19.66
265,Joshimath,IN,2021-07-17 18:42:51,30.5667,79.5667,74.14,97,100,2.95
266,Monroe,US,2021-07-17 18:42:51,43.1501,-77.6831,67.28,91,90,14.97
267,Puerto Carreno,CO,2021-07-17 18:42:52,6.189,-67.4859,88.68,56,88,5.53
268,Rimbey,CA,2021-07-17 18:42:52,52.6334,-114.2353,60.64,82,100,6.8
269,Luchegorsk,RU,2021-07-17 18:42:52,46.4764,134.2569,69.96,99,26,4.34
270,Daultala,PK,2021-07-17 18:42:52,33.1925,73.1413,89.62,42,0,7.02
271,Kunya,NG,2021-07-17 18:42:53,12.2233,8.5325,84.36,61,20,6.91
272,Acapulco,MX,2021-07-17 18:41:03,16.8634,-99.8901,85.82,70,75,4.61
273,Port Hardy,CA,2021-07-17 18:42:13,50.6996,-127.4199,59.18,77,75,8.05
274,Dabola,GN,2021-07-17 18:42:53,10.75,-11.1167,76.21,86,75,2.57
275,Mehamn,NO,2021-07-17 18:42:53,71.0357,27.8492,50.36,89,97,22.17
276,Merauke,ID,2021-07-17 18:42:54,-8.4667,140.3333,76.51,91,80,11.61
277,Zhireken,RU,2021-07-17 18:42:54,52.8249,117.3076,60.73,69,100,4.56
278,Kozuchow,PL,2021-07-17 18:42:54,51.7456,15.5949,74.68,90,83,8.14
279,Lompoc,US,2021-07-17 18:42:54,34.6391,-120.4579,86.68,72,1,6.91
280,Huilong,CN,2021-07-17 18:42:55,31.8111,121.655,78.98,91,4,10.09
281,Oranjemund,NA,2021-07-17 18:42:55,-28.55,16.4333,59.54,50,0,8.01
282,Luang Prabang,LA,2021-07-17 18:42:55,19.8856,102.1347,74.41,91,100,1.92
283,Sao Jose Da Coroa Grande,BR,2021-07-17 18:42:55,-8.8978,-35.1478,78.06,78,72,8.48
284,Kirkwall,GB,2021-07-17 18:42:56,58.9848,-2.9587,59.34,88,100,28.39
285,Genhe,CN,2021-07-17 18:42:56,50.7833,121.5167,63.09,84,100,4.36
286,Opochka,RU,2021-07-17 18:42:56,56.7105,28.6617,71.2,75,69,2.95
287,Isangel,VU,2021-07-17 18:42:56,-19.55,169.2667,75.51,91,27,6.53
288,Tecoanapa,MX,2021-07-17 18:42:57,16.5167,-98.75,86.04,59,64,8.97
289,Gongzhuling,CN,2021-07-17 18:42:57,43.5008,124.8198,72.36,89,5,4.09
290,Esil,KZ,2021-07-17 18:42:57,51.9556,66.4042,62.29,78,0,7.31
291,Ramsgate,GB,2021-07-17 18:42:57,51.3358,1.4155,69.66,63,0,1.99
292,Gold Coast,AU,2021-07-17 18:42:58,-28.0,153.4333,55.99,62,0,5.75
293,San Policarpo,PH,2021-07-17 18:42:58,12.1791,125.5072,79.07,88,99,5.28
294,Duartina,BR,2021-07-17 18:42:58,-22.4144,-49.4039,85.35,40,18,10.67
