City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
155,Hagi,34.4,131.4167,70.86,86,100,3.29,JP,overcast clouds
156,Hayden,47.766,-116.7866,84.97,23,1,13.8,US,clear sky
157,Sangar,63.9242,127.4739,65.21,73,100,1.32,RU,overcast clouds
158,Gimbi,9.1667,35.8333,55.83,97,100,3.36,ET,light rain
159,Tonk,26.1667,75.7833,80.4,83,25,6.26,IN,moderate rain
160,Saint-Michel-Des-Saints,46.6834,-73.9159,74.93,47,96,4.12,CA,overcast clouds
161,Salas,43.4118,-6.2602,63.5,93,19,1.05,ES,few clouds
162,Victoria,22.2855,114.1577,85.24,87,78,1.01,HK,broken clouds
163,Ampanihy,-24.7,44.75,60.91,61,40,6.2,MG,scattered clouds
164,Tessalit,20.1986,1.0114,87.33,43,56,19.98,ML,broken clouds
165,Heihe,50.2441,127.4902,70.38,94,54,5.59,CN,broken clouds
166,La Ronge,55.1001,-105.2842,64.65,59,90,12.66,CA,overcast clouds
167,Aldan,58.6031,125.3894,61.48,99,100,3.11,RU,moderate rain
168,East London,-33.0153,27.9116,53.35,66,94,3.69,ZA,light rain
169,Wajir,1.7471,40.0573,77.25,52,76,21.88,KE,broken clouds
170,Norman Wells,65.282,-126.8329,59.04,72,90,11.5,CA,overcast clouds
171,Am Timan,11.0297,20.2827,75.99,74,6,4.34,TD,clear sky
172,Kalmunai,7.4167,81.8167,78.78,71,67,9.95,LK,broken clouds
173,Coos Bay,43.3665,-124.2179,87.85,63,1,23.02,US,clear sky
174,Chambas,22.1928,-78.9136,89.22,68,79,10.78,CU,broken clouds
175,Port Elizabeth,-33.918,25.5701,45.1,93,40,4.61,ZA,scattered clouds
176,Itea,38.4333,22.4167,80.01,58,3,3.09,GR,clear sky
177,Taranagar,28.6709,75.0351,88.45,66,100,4.61,IN,overcast clouds
178,Gonaives,19.45,-72.6833,88.54,59,29,6.49,HT,scattered clouds
179,Praia,14.9215,-23.5087,77.54,65,20,17.27,CV,few clouds
180,Ravar,31.2656,56.8055,88.43,14,0,4.41,IR,clear sky
181,Leningradskiy,69.3833,178.4167,40.46,77,65,9.73,RU,broken clouds
182,Bud,39.447,-86.1758,87.21,68,18,5.99,US,few clouds
183,Belvidere,42.2639,-88.8443,88.36,67,41,9.62,US,scattered clouds
184,Nikolskoye,59.7035,30.7861,61.81,65,93,2.8,RU,overcast clouds
185,Powell,40.1578,-83.0752,82.35,59,1,1.99,US,clear sky
186,Sawakin,19.1059,37.3321,89.31,55,76,8.32,SD,broken clouds
187,Ullapool,57.8987,-5.1604,68.34,81,99,3.29,GB,overcast clouds
188,Tambopata,-12.7333,-69.1833,87.69,45,0,3.44,PE,clear sky
189,Kapaa,22.0752,-159.319,82.72,70,75,3.0,US,light rain
190,Phan Thiet,10.9333,108.1,77.13,90,100,10.42,VN,overcast clouds
191,Orda,57.1951,56.9091,53.83,83,39,3.4,RU,scattered clouds
192,Vanimo,-2.6741,141.3028,77.32,88,100,3.56,PG,moderate rain
193,Tulun,54.5611,100.5792,55.02,86,52,2.64,RU,broken clouds
194,Oro Valley,32.3909,-110.9665,76.95,73,100,7.85,US,overcast clouds
195,Morondava,-20.2833,44.2833,70.54,67,54,19.28,MG,broken clouds
196,Caxito,-8.5785,13.6643,67.44,94,83,0.69,AO,broken clouds
197,Yellowknife,62.456,-114.3525,75.72,64,75,4.61,CA,smoke
198,Amarwara,22.3,79.1667,71.96,95,100,8.86,IN,heavy intensity rain
199,Tautira,-17.7333,-149.15,82.42,69,4,10.45,PF,clear sky
200,Touros,-5.1989,-35.4608,79.7,77,5,16.42,BR,clear sky
201,Pocinhos,-7.0767,-36.0611,73.69,86,51,12.95,BR,broken clouds
202,Nizhniy Odes,63.6445,54.856,51.26,79,95,7.45,RU,overcast clouds
203,Asau,46.4333,26.4,62.4,83,19,3.09,RO,few clouds
204,Jandaia Do Sul,-23.6031,-51.6433,77.65,57,0,5.48,BR,clear sky
205,Iquique,-20.2208,-70.1431,60.84,73,26,3.69,CL,scattered clouds
206,Vanavara,60.34,102.2797,57.52,82,3,2.26,RU,clear sky
207,Quatre Cocos,-20.2078,57.7625,69.91,68,56,11.18,MU,broken clouds
208,Takhtamygda,54.1,123.5667,65.59,99,100,1.95,RU,overcast clouds
209,Ribeira Grande,38.5167,-28.7,73.8,88,75,12.66,PT,broken clouds
210,Stornoway,58.2093,-6.3865,61.93,88,0,9.22,GB,clear sky
211,Tiksi,71.6872,128.8694,43.05,87,97,5.19,RU,overcast clouds
212,Leshukonskoye,64.8989,45.7622,39.06,79,6,3.98,RU,clear sky
213,Riyadh,24.6877,46.7219,98.74,14,22,11.56,SA,few clouds
214,Ocos,14.5094,-92.1933,95.5,72,99,9.26,GT,overcast clouds
215,Valparaiso,-33.0393,-71.6273,54.52,88,90,6.91,CL,fog
216,Kruisfontein,-34.0033,24.7314,42.89,77,41,5.1,ZA,scattered clouds
217,Kawalu,-7.3817,108.2082,72.25,97,91,1.59,ID,overcast clouds
218,Bambous Virieux,-20.3428,57.7575,70.05,83,75,12.66,MU,light intensity shower rain
219,Yerbogachen,61.2767,108.0108,58.39,74,27,2.17,RU,scattered clouds
