City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Helena,US,88.36,clear sky,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
392,Nantong,CN,80.98,overcast clouds,32.0303,120.8747,Overseas Chinese Hotel Nantong
393,Ribas Do Rio Pardo,BR,81.3,clear sky,-20.4431,-53.7592,Pousada Avenida
394,Puerto Leguizamo,CO,82.18,scattered clouds,-0.1934,-74.7819,la casona de juancho
396,Pandan,PH,82.81,overcast clouds,14.0453,124.1694,Bonifacio Lodge
397,Sao Jose Da Coroa Grande,BR,75.0,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
398,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
399,Dawlatabad,AF,84.34,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
402,Suez,EG,78.87,clear sky,29.9737,32.5263,Green House
403,Lagos,NG,80.92,broken clouds,6.5833,3.75,
408,Vicksburg,US,94.68,few clouds,32.3526,-90.8779,La Quinta Inn & Suites by Wyndham Vicksburg
411,Yarada,IN,81.82,overcast clouds,17.65,83.2667,Jeevan
412,Silver City,US,82.92,scattered clouds,32.7701,-108.2803,Copper Manor Motel
414,Salinopolis,BR,78.24,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
417,Cabimas,VE,89.26,overcast clouds,10.3883,-71.4399,Foresgum jejdjdkdkdkdkdkdkdkdkd
420,Jatai,BR,76.35,clear sky,-17.8814,-51.7144,La Vitre Hotel
425,Mizdah,LY,76.05,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
426,Bandarbeyla,SO,76.78,few clouds,9.4942,50.8122,JABIR HOTEL
430,Mantua,IT,82.72,broken clouds,45.1667,10.7833,Hotel la Favorita
432,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
435,Outlook,CA,81.16,clear sky,51.5001,-107.0513,Red Wheel Motel
440,Padang,ID,77.18,overcast clouds,-0.9492,100.3543,Mercure Padang
442,Tiznit,MA,93.96,overcast clouds,29.5833,-9.5,
445,Adelanto,US,96.91,broken clouds,34.5828,-117.4092,Days Inn Adelanto-Victorville
446,Cortez,US,86.52,scattered clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
447,Avigliana,IT,77.34,overcast clouds,45.0771,7.3986,Ninfa Hotel
448,Fatick,SN,77.94,few clouds,14.3581,-16.5858,
449,Samarai,PG,80.08,broken clouds,-10.6167,150.6667,Nuli Sapi
